============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.40%       1.089ms         0.40%       1.089ms       2.161us       0.000us         0.00%       0.000us       0.000us       1.12 KB       1.12 KB     581.41 MB     581.41 MB           504  
                                          aten::resize_         0.08%     234.039us         0.08%     234.039us       3.251us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     289.84 MB     289.84 MB            72  
                                           aten::expand         0.13%     370.195us         0.20%     558.754us       3.880us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                                       aten::as_strided         0.58%       1.589ms         0.58%       1.589ms       0.774us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2052  
                                       cudaLaunchKernel         4.44%      12.235ms         4.44%      12.235ms       4.593us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2664  
                                        aten::unsqueeze         0.30%     832.009us         0.37%       1.032ms       3.185us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           324  
                                               aten::to         0.20%     563.010us         0.92%       2.538ms       2.712us       0.000us         0.00%      92.766us       0.099us           0 B           0 B     160.50 KB           0 B           936  
                                         aten::_to_copy         0.24%     652.294us         0.72%       1.975ms      10.975us       0.000us         0.00%      92.766us       0.515us           0 B           0 B     160.50 KB           0 B           180  
                                           aten::matmul         0.86%       2.365ms         7.61%      20.955ms      36.380us       0.000us         0.00%     206.118ms     357.844us           0 B           0 B       6.80 GB           0 B           576  
                                 cudaDeviceGetAttribute         0.01%      27.930us         0.01%      27.930us       0.776us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                         cuLaunchKernel         0.07%     179.013us         0.07%     179.013us       4.973us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                     aten::_unsafe_view         0.38%       1.034ms         0.38%       1.034ms       1.796us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           576  
                                        aten::transpose         0.84%       2.324ms         1.16%       3.186ms       2.766us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1152  
                                      aten::result_type         0.04%     105.530us         0.04%     105.530us       0.586us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           180  
                                           aten::linear         0.37%       1.031ms         8.14%      22.416ms      41.511us       0.000us         0.00%     206.009ms     381.498us           0 B           0 B       6.79 GB           0 B           540  
                                                aten::t         0.44%       1.202ms         0.92%       2.532ms       4.689us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
                                        cudaMemsetAsync         0.66%       1.804ms         0.66%       1.804ms       3.341us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
                                    cudaLaunchKernelExC         0.87%       2.406ms         0.87%       2.406ms       4.455us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
                                            aten::slice         0.37%       1.018ms         0.45%       1.239ms       4.301us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           288  
                                       aten::lift_fresh         0.02%      61.471us         0.02%      61.471us       0.427us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                                          aten::detach_         0.07%     181.454us         0.09%     245.791us       1.707us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                                                detach_         0.02%      64.337us         0.02%      64.337us       0.447us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                     aten::scaled_dot_product_attention         0.23%     620.826us         1.51%       4.157ms      57.736us       0.000us         0.00%      16.660ms     231.395us       1.12 KB           0 B     581.41 MB           0 B            72  
          aten::_scaled_dot_product_efficient_attention         0.32%     892.481us         1.28%       3.536ms      49.113us       0.000us         0.00%      16.660ms     231.395us       1.12 KB           0 B     581.41 MB           0 B            72  
                                  cudaStreamIsCapturing         0.02%      61.053us         0.02%      61.053us       0.848us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            72  
                                   cudaFuncSetAttribute         0.04%     111.364us         0.04%     111.364us       1.547us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            72  
                                            aten::alias         0.05%     129.382us         0.05%     129.382us       3.594us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                           aten::select         0.09%     234.607us         0.10%     272.358us       7.566us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                             aten::item         0.03%      73.028us        57.39%     158.021ms       4.389ms       0.000us         0.00%      56.863us       1.580us           0 B           0 B           0 B           0 B            36  
                                  cudaStreamSynchronize        57.12%     157.285ms        57.12%     157.285ms       4.369ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                  cudaDeviceSynchronize         0.00%       7.386us         0.00%       7.386us       7.386us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 275.345ms
Self CUDA time total: 239.833ms

Slow: 128 tokens in 0.95s (134.2 tok/s)
Token preview: [775, 1973, 97, 2453, 295, 695, 775, 866]

--- Part 2: Optimized ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
