============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
          aten::_scaled_dot_product_efficient_attention         0.30%     836.151us         1.26%       3.488ms      48.441us       0.000us         0.00%      16.675ms     231.603us       1.12 KB           0 B     581.41 MB           0 B            72  
                                  cudaStreamIsCapturing         0.02%      59.515us         0.02%      59.515us       0.827us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            72  
                                   cudaFuncSetAttribute         0.05%     141.333us         0.05%     141.333us       1.963us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            72  
                                            aten::alias         0.05%     127.261us         0.05%     127.261us       3.535us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                           aten::select         0.09%     249.618us         0.10%     287.353us       7.982us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                             aten::item         0.03%      73.673us        58.09%     160.266ms       4.452ms       0.000us         0.00%      57.119us       1.587us           0 B           0 B           0 B           0 B            36  
                                  cudaStreamSynchronize        57.83%     159.535ms        57.83%     159.535ms       4.432ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                  cudaDeviceSynchronize         0.00%       8.319us         0.00%       8.319us       8.319us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 275.887ms
Self CUDA time total: 240.878ms

