============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      35.360us         0.01%      35.360us       0.982us           0 B           0 B           0 B           0 B            36  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.321us         0.00%       4.321us       1.440us           0 B           0 B           0 B           0 B             3  
                                          ProfilerStep*         0.06%     159.996us       100.00%     275.723ms      91.908ms       0.000us         0.00%     239.463ms      79.821ms           0 B           0 B           0 B           0 B             3  
                                        model inference        17.09%      47.128ms        99.94%     275.563ms      91.854ms       0.000us         0.00%     239.463ms      79.821ms           0 B      -1.12 KB           0 B     -22.95 GB             3  
                                            aten::clone         0.01%      29.268us         0.05%     139.299us      46.433us       0.000us         0.00%       4.321us       1.440us           0 B           0 B      24.00 KB           0 B             3  
                                    aten::empty_strided         0.23%     623.095us         0.23%     623.095us       3.405us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     184.50 KB     184.50 KB           183  
                                        cudaMemcpyAsync         0.16%     432.940us         0.16%     432.940us      11.101us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            39  
                                        aten::embedding         0.12%     336.379us         0.81%       2.243ms      62.319us       0.000us         0.00%     234.398us       6.511us           0 B           0 B     289.55 MB           0 B            36  
                                          aten::reshape         0.30%     825.443us         0.76%       2.085ms       2.896us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           720  
                                             aten::view         0.61%       1.688ms         0.61%       1.688ms       1.675us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1008  
                                     aten::index_select         0.18%     483.985us         0.64%       1.776ms      49.333us       0.000us         0.00%     234.398us       6.511us           0 B           0 B     289.55 MB           0 B            36  
