============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         4.51%       5.163ms         7.37%       8.450ms      10.669us       1.694ms        12.23%       1.694ms       2.139us           0 B           0 B     357.80 MB     357.80 MB           792  
                         aten::_flash_attention_forward         1.05%       1.206ms         3.11%       3.569ms      49.568us       1.216ms         8.77%       1.216ms      16.882us           0 B           0 B      24.55 MB    -105.21 MB            72  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.155ms         8.34%       1.155ms       8.751us           0 B           0 B           0 B           0 B           132  
                                            aten::copy_         1.94%       2.227ms         4.48%       5.134ms       9.250us       1.016ms         7.33%       1.016ms       1.831us           0 B           0 B           0 B           0 B           555  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     865.787us         6.25%     865.787us       2.857us           0 B           0 B           0 B           0 B           303  
               nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     749.081us         5.41%     749.081us      11.350us           0 B           0 B           0 B           0 B            66  
                                              aten::add         2.70%       3.091ms         4.36%       5.001ms      10.686us     696.565us         5.03%     696.565us       1.488us           0 B           0 B      97.17 MB      97.17 MB           468  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     642.107us         4.63%     642.107us       2.548us           0 B           0 B           0 B           0 B           252  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     550.693us         3.97%     550.693us       3.530us           0 B           0 B           0 B           0 B           156  
                    nvjet_tst_128x128_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     546.715us         3.95%     546.715us      18.224us           0 B           0 B           0 B           0 B            30  
void pytorch_flash::flash_fwd_splitkv_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     529.599us         3.82%     529.599us       8.024us           0 B           0 B           0 B           0 B            66  
                                             aten::mean         1.60%       1.830ms         2.31%       2.650ms      14.723us     487.455us         3.52%     487.455us       2.708us           0 B           0 B     142.50 KB     142.50 KB           180  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     487.455us         3.52%     487.455us       2.708us           0 B           0 B           0 B           0 B           180  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     432.510us         3.12%     432.510us      36.043us           0 B           0 B           0 B           0 B            12  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     424.925us         3.07%     424.925us       6.438us           0 B           0 B           0 B           0 B            66  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     382.422us         2.76%     382.422us       1.386us           0 B           0 B           0 B           0 B           276  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     377.251us         2.72%     377.251us       1.592us           0 B           0 B           0 B           0 B           237  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     362.052us         2.61%     362.052us       2.011us           0 B           0 B           0 B           0 B           180  
